Id,SalePrice
1461,134555.2
1462,154724.38
1463,171871.23
1464,175688.17
1465,176801.58
1466,164134.27
1467,169187.8
1468,165853.56
1469,173101.52
1470,138889.1
1471,178386.67
1472,123398.52
1473,126110.52
1474,143896.92
1475,144366.9
1476,218828.14
1477,198925.7
1478,217246.73
1479,209808.14
1480,220181.27
1481,207424.3
1482,191910.38
1483,177435.05
1484,185569.53
1485,171514.66
1486,177030.33
1487,205568.89
1488,181596.7
1489,184321.33
1490,189491.52
1491,174360.08
1492,122130.695
1493,168466.62
1494,195485.67
1495,191003.39
1496,188475.45
1497,168705.78
1498,166188.36
1499,165133.81
1500,169186.52
1501,167745.89
1502,167306.12
1503,203472.8
1504,182894.06
1505,182636.11
1506,158564.23
1507,182221.67
1508,162871.94
1509,146410.36
1510,159353.73
1511,158685.42
1512,163892.11
1513,147589.1
1514,143509.48
1515,148071.36
1516,145292.2
1517,161367.67
1518,145343.16
1519,185712.77
1520,148894.3
1521,151616.0
1522,158828.67
1523,125790.23
1524,138853.78
1525,131512.5
1526,134111.5
1527,134334.11
1528,133192.0
1529,151368.23
1530,159006.78
1531,148074.2
1532,127867.53
1533,141499.75
1534,137266.97
1535,151912.56
1536,136120.75
1537,118133.766
1538,138359.66
1539,161131.64
1540,117864.5
1541,139405.9
1542,136476.8
1543,142085.45
1544,111436.48
1545,122369.31
1546,129262.14
1547,130544.97
1548,122339.016
1549,125725.91
1550,126091.96
1551,136636.7
1552,136026.22
1553,134895.14
1554,136420.56
1555,157609.56
1556,127067.84
1557,132244.05
1558,132662.86
1559,118661.32
1560,135481.78
1561,142534.55
1562,143291.84
1563,142309.95
1564,161305.02
1565,143313.27
1566,164881.05
1567,124222.6
1568,182228.89
1569,136791.2
1570,153950.77
1571,146503.62
1572,148320.83
1573,197596.95
1574,148602.34
1575,181540.08
1576,181149.95
1577,189457.22
1578,144515.05
1579,159368.56
1580,169253.7
1581,162237.92
1582,134318.89
1583,193016.92
1584,181394.47
1585,167000.67
1586,119434.19
1587,140556.56
1588,151980.97
1589,118182.58
1590,146150.14
1591,134652.25
1592,141002.66
1593,134759.94
1594,140329.11
1595,139588.28
1596,162252.19
1597,156206.45
1598,173367.73
1599,172192.44
1600,170714.62
1601,117331.125
1602,133665.86
1603,120745.61
1604,202644.88
1605,185549.48
1606,153538.08
1607,146708.72
1608,201262.02
1609,182965.86
1610,162279.31
1611,150747.67
1612,172885.45
1613,168941.73
1614,156020.23
1615,135030.36
1616,132095.47
1617,134507.62
1618,139012.69
1619,144399.06
1620,155913.34
1621,150346.03
1622,142205.94
1623,187598.48
1624,189471.12
1625,136083.97
1626,163486.89
1627,171143.97
1628,194461.64
1629,168419.94
1630,193748.9
1631,182532.1
1632,187127.67
1633,165585.02
1634,174389.69
1635,169577.66
1636,173568.28
1637,161484.06
1638,170080.03
1639,165879.03
1640,172503.3
1641,158374.28
1642,190528.08
1643,179189.27
1644,181789.17
1645,159208.11
1646,152707.97
1647,153077.38
1648,152347.28
1649,153327.47
1650,136803.44
1651,137645.64
1652,123671.14
1653,125453.695
1654,146713.0
1655,151065.48
1656,146594.88
1657,145937.75
1658,151972.28
1659,137597.06
1660,162954.22
1661,220274.08
1662,216791.9
1663,216523.62
1664,217821.25
1665,213575.89
1666,208684.55
1667,217574.44
1668,221755.78
1669,212338.14
1670,210245.3
1671,190719.9
1672,209271.14
1673,193197.5
1674,195224.11
1675,188933.75
1676,190091.44
1677,191989.58
1678,228248.56
1679,214757.83
1680,217296.16
1681,208452.4
1682,205808.45
1683,184051.62
1684,170753.47
1685,171559.88
1686,183962.52
1687,167451.0
1688,178952.69
1689,173911.45
1690,181969.17
1691,177252.22
1692,191357.42
1693,168759.81
1694,177333.75
1695,160361.58
1696,187364.7
1697,160537.19
1698,196331.6
1699,190214.66
1700,193881.0
1701,198116.47
1702,194073.78
1703,192278.62
1704,197013.1
1705,202816.66
1706,211279.6
1707,193765.28
1708,183262.39
1709,195746.81
1710,191582.58
1711,196162.06
1712,191549.64
1713,193311.9
1714,182100.16
1715,176628.4
1716,178897.3
1717,178862.86
1718,162562.4
1719,178830.33
1720,197110.5
1721,170197.25
1722,156934.36
1723,168508.73
1724,196368.48
1725,187707.27
1726,172928.23
1727,170373.27
1728,166107.34
1729,156181.92
1730,145291.02
1731,139358.28
1732,145219.84
1733,135286.6
1734,141280.05
1735,143971.58
1736,139382.14
1737,170181.81
1738,184726.16
1739,180699.02
1740,197741.45
1741,198445.55
1742,166364.8
1743,169388.6
1744,191468.55
1745,163367.45
1746,168177.9
1747,171925.31
1748,174589.94
1749,154415.69
1750,144325.1
1751,190592.94
1752,141871.64
1753,151710.45
1754,166782.27
1755,161275.3
1756,138301.25
1757,135622.05
1758,151954.62
1759,152850.6
1760,161142.42
1761,154773.92
1762,150300.75
1763,165083.4
1764,141474.02
1765,150250.02
1766,161965.77
1767,158685.25
1768,150866.98
1769,152835.58
1770,144374.8
1771,144511.31
1772,137428.47
1773,152414.4
1774,154204.83
1775,145539.88
1776,134429.75
1777,130944.914
1778,151471.58
1779,143702.17
1780,134870.39
1781,142910.42
1782,124129.17
1783,145377.3
1784,132751.25
1785,141087.03
1786,150294.4
1787,155581.06
1788,116354.984
1789,129363.02
1790,132401.47
1791,160596.5
1792,151542.27
1793,141918.25
1794,149117.56
1795,140864.4
1796,166730.53
1797,135205.78
1798,142958.36
1799,135303.81
1800,154248.8
1801,128923.266
1802,143053.58
1803,151124.0
1804,158465.2
1805,145367.95
1806,132012.73
1807,119382.195
